Seq_IDs	Reference_length	group1	group2	group3	group4	group5
1142	12256	15.8493798956	9.36276109661	8.61822780679	36.7881037859	9.58714099217
1143	12252	0.43870388508	6.74379693111	0.0408096637284	5.25424420503	1.10186092067
1144	12234	0	20.8026810528	0	0	0.0204348536864
1145	12229	0	8.02395944067	0.122659252596	0.010221604383	0.122659252596
1146	12229	31.5540927304	7.60487366097	1.10393327337	67.8407882901	14.6475590809
1147	12221	0	18.7996072335	0	0.0204565911137	0.0306848866705
1148	12202	0	8.9432060318	0	0	0.553188001967
1149	12195	0.10250102501	8.71258712587	0	0.184501845018	0.779007790078
115	64955	7.60526518359	71.1800477253	22.6156569933	10.1628050189	429.270264029
1150	12189	0	18.9207482156	0	0	0.0205102961687
1151	12187	15.6006400263	10.0722080906	10.1029785837	35.9399359974	9.16960695823
1152	22679	0	17.8303717095	0	0	0
1153	12173	14.2015115419	7.91711164052	8.98504887867	11.7883841288	66.592047975
1154	16018	0	18.1982769384	0	0	1.68560369584
1155	15172	0	9.5817954126	0	0	0.988663327182
1156	12168	15.7174556213	8.95792241946	7.67381656805	34.3626725838	8.63946416831
1157	12165	47.1537196876	9.88491574188	2.42498972462	92.3037402384	21.8557336621
1158	12156	45.3274103323	9.5631786772	2.59131293189	87.6213392563	21.9027640671
1159	12146	27.7560513749	7.6156759427	0.391075251111	45.1177342335	10.8780668533
116	64759	1.0500470977	13.9594496518	0.0231628036258	3.17523433036	0.992140088636
1160	12131	0	20.6598796472	0	0	0.0412167175006
1161	12120	0	10.2103960396	0	0	1.01072607261
1162	16008	0	28.8683783108	0	0	1.30403548226
1163	12115	1.52703260421	19.2736277342	0.0412711514651	2.6929426331	0.96987205943
1164	12095	1.81893344357	12.0400992146	0.475403059115	14.5307978504	3.95824720959
1165	12092	0.516870658286	7.47394971882	0.0826993053258	8.69376447238	1.90208402249
1166	12083	0	23.5144417777	0.0827609037491	0	0.951750393114
1167	12078	18.1838880609	10.8875641663	8.89013081636	41.4700281504	10.9496605398
1168	12075	0	17.3498964803	0	0	0.0828157349896
1169	12072	4.85627899271	18.6692345924	0.890490390987	19.8703611663	4.22465208748
117	64349	0.260299305351	13.7220469627	0.0155402570359	0.233103855538	2.46895833657
1170	12068	0	7.58203513424	0.0207159429897	0	0.321097116341
1171	12064	0.0621684350133	9.00406167109	0	0.0414456233422	0.559515915119
1172	12037	0.685386724267	7.39386890421	0.228462241422	9.49156766636	2.95962449115
1173	12031	3.69877815643	10.7950295071	3.68838833015	7.43911561799	1.53769428975
1174	12026	17.9610843173	9.94719773823	6.9225012473	40.7242640945	8.71029436222
1175	12023	0	12.4448972802	0	0	0.540630458288
1176	12020	1.18552412646	7.90349417637	0.124792013311	9.92096505824	2.52703826955
1177	11996	0	22.9555685228	0	0	0.270923641214
1178	11941	0.146553889959	8.14420902772	0.0209362699941	0.146553889959	1.4236663596
1179	11929	0.0209573308743	19.2912230698	0.0209573308743	0	1.11073853634
118	64284	5.83737788563	21.3583473337	20.7302750296	10.6636176965	3.25703129861
1180	11910	0	7.99748110831	0.0209907640638	0	0.293870696893
1181	11910	0	12.8778337531	0	0	0.482787573468
1182	11906	1.21787334117	13.9530488829	0.0419956324542	3.19166806652	0.818914832857
1183	11906	6.62481101965	19.6434570805	10.1944397783	12.1787334117	3.05518226104
1184	11892	33.9724184326	8.45105953582	1.34544231416	66.5258156744	16.7759838547
1185	11887	0	12.0720114411	0	0	0.0420627576344
1186	11884	37.697744867	8.23586334567	1.304274655	74.4278020868	17.6602995624
1187	11876	0.347339171438	16.8933142472	0.0842034355002	0.431542606938	3.07342539576
1188	11866	0	17.5290746671	0	0.0210685993595	0
1189	11856	16.8585526316	9.28854588394	16.732034413	40.4542004049	12.2933535762
119	94512	0.0132258337566	19.68797613	0.00529033350262	0.00793550025394	0.232774674115
1190	11848	0	6.72054355165	0	0.0105503038488	0.305958811614
1191	11848	17.5346049966	10.465901418	12.3122045915	39.1943787981	11.4787305874
1192	11825	0	20.0845665962	0.0211416490486	0	0.0105708245243
1193	11820	0.243231810491	10.2791878173	0.359560067682	0.148054145516	2.81302876481
1194	13618	0	16.0908356587	0	0	1.4870024967
1195	11787	0.0212098074149	20.7644014592	0	0	0
1196	11787	5.17519300925	19.8099601256	11.6547891745	10.4246203444	3.64808687537
1197	11739	0.0638895987733	9.53019848369	0.0212965329244	0.127779197547	0.819916517591
1198	16414	0.220848056537	16.6016814914	0.0304618009017	0.388387961496	2.49786767394
1199	11728	0	6.62943383356	0.0213165075034	0.0213165075034	0.255798090041
12	253167	7.21658036	67.1720642896	23.3605683205	9.21279234655	520.966397674
120	62691	1.2601489847	17.0598650524	0.0757684516119	3.27000685904	0.973026431226
1200	11728	15.4331514325	9.84822646658	11.7986869031	37.3358628922	11.8200034106
1201	11699	0.384648260535	10.1611248825	0.106846739038	0.192324130268	1.89118728096
1202	11691	0	7.0246343341	0	0	0.235223676332
1203	11687	0	17.2627705998	0	0	0
1204	11683	0.727552854575	7.41461953265	0.106993066849	9.59727809638	3.0493024052
1205	11670	0	16.2596401028	0	0	0.0214224507284
1206	11669	0	8.39832033593	0	0	0.428485731425
1207	11659	0.128655973926	10.6033965177	0.0536066558024	0.21442662321	2.89475941333
1208	11635	0.687580575849	8.43360550064	0.204125483455	11.4095401805	2.7288354104
1209	11634	16.8471720818	9.59472236548	12.7858002407	42.451005673	12.7965446106
121	62184	0.301524507912	17.671346327	0.253280586646	0.359819246108	4.16907886273
1210	11611	17.1604512962	10.1412453708	12.6819395401	38.1534751529	11.8745155456
1211	11608	15.5496209511	8.8516540317	6.51490351482	32.8006547209	6.82718814611
1212	11603	12.6906834439	6.51771093683	4.2122726881	30.0030164613	7.77816082048
1213	23197	0	18.0519032634	0.0107772556796	0.0107772556796	0.775962408932
1214	11596	0	18.7025698517	0	0	2.33916867885
1215	11582	0	7.4792781903	0	0	0.474874805733
1216	11579	528.424302617	32.8396234563	587.885395975	516.376630106	215.810950859
1217	11564	0	15.4466447596	0	0.0432376340367	0.194569353165
1218	11556	0	21.7203184493	0	0	0
1219	11555	0	14.073993942	0	0	1.83903072263
122	61785	516.808286801	31.3101885571	593.979121146	485.409079874	198.980335033
1220	11548	18.5205230343	9.61205403533	6.71111880845	41.2842050572	9.48216141323
1221	11531	0.140924464487	12.8349666117	0.0216806868442	0.0758824039546	1.31168155407
1222	11525	0.0433839479393	19.5986984816	0	0	0
1223	11520	16.5798611111	9.26649305556	10.1019965278	38.8780381944	11.1979166667
1224	11495	0	19.3344932579	0	0	0
1225	11478	9.53998954522	92.2634605332	26.4636696289	12.9269036417	391.488064123
1226	11474	12.1361338679	32.6607983267	4.08532333972	23.0630120272	26.2332229388
1227	11453	5.38068628307	18.619575657	8.92779184493	11.1215402078	3.49253470706
1228	11453	4.88954858989	18.2594080154	11.612677901	10.0628656247	3.33973631363
1229	11448	0.0109189378057	13.8015373864	0	0	1.35394828791
123	61437	0.00406920910852	17.0764360239	0	0	1.20448589612
1230	11441	0	8.11773446377	0	0	0
1231	11441	0	20.8242286513	0	0	0.03277685517
1232	11433	1.14799265285	12.8793842386	0.0437330534418	2.53651709962	0.48106358786
1233	11426	0.0218799229827	18.1275161911	0.0218799229827	0	1.54253457028
1234	11405	0	7.71591407278	0.021920210434	0	0.811047786059
1235	11404	1.50166608208	15.323570677	0	4.24193265521	0.635741844967
1236	11400	0	18.2894736842	0.0219298245614	0	1.17324561404
1237	11388	17.9026167896	7.13470319635	10.4276431331	68.1309272919	14.0389005971
1238	11387	0.735487837007	8.48555370159	0.109774304031	8.05743391587	2.51383156231
1239	11377	0.318625296651	17.590313791	0.461457326184	0.296651138261	7.36134306056
124	61178	0.0143025270522	16.6624440158	0	0.0204321815032	0.0980744712151
1240	11376	0	9.61453938115	0	0	0.307665260197
1241	11372	0	9.50800211045	0	0	0.989271895885
1242	11363	15.6538766171	9.58153656605	10.2305729121	38.3041450321	12.1446801021
1243	11296	0	27.2109596317	0.0221317280453	0.0442634560907	0.442634560907
1244	11295	16.8658698539	9.35148295706	8.8424081452	40.5599822931	9.94909251881
1245	11289	0.0221454513243	9.1571441226	0.476127203472	0.132872707946	0.376472672513
1246	11287	0.0110746876938	13.5664924249	0	0.0332240630814	0.0664481261628
1247	11270	0	20.4636202307	0.0221827861579	0	1.59716060337
1248	11268	16.1297479588	9.69559815406	10.6274405396	37.5954029109	11.9586439475
1249	11262	0.244183981531	9.22349493873	0.0221985437755	0.0665956313266	0.887941751021
125	61114	0.032725725693	292.623212357	0.0449978728278	0.0449978728278	19.3224956638
1250	11241	0.0667200427008	7.88408504581	0	0.177920113869	0.600480384307
1251	11240	0.244661921708	11.1098754448	0	0.200177935943	2.27980427046
1252	11234	0.790012462168	8.35632900125	0.0445077443475	11.271586256	2.61482998042
1253	11231	0.144688807764	8.79262754875	0	0.178078532633	2.35954055739
1254	11209	0	16.3373182264	0	0	1.71736997056
1255	11177	0	18.8445021025	0.022367361546	0	0
1256	11173	0	19.0973776067	0	0	0
1257	11165	0	17.6220331393	0	0	1.276309897
1258	11162	0	15.4990145135	0	0	1.92617810428
1259	11159	11.560175643	31.1967918272	8.43489559996	21.0256295367	50.4749529528
126	60976	580.956031881	34.8989766465	1263.97066059	555.847792574	340.363421674
1260	11156	0	8.91896737182	0	0	1.21011115095
1261	14067	0	16.874600128	0.14217672567	0	1.19961612284
1262	11133	6.3325249259	60.3274050121	24.1624000719	7.53390820084	561.787029552
1263	11125	15.2696629213	8.79775280899	8.92134831461	34.9887640449	10.0561797753
1264	11107	44.3864229765	8.39560637436	1.40677050509	67.9413883137	16.0146754299
1265	11102	0.225184651414	12.0698973158	0.0450369302828	0.112592325707	1.58755179247
1266	11099	1.58798089918	16.5555455446	0	3.4462564195	2.06099648617
1267	11098	0.090106325464	9.52874391782	0.11263290683	0.123896197513	0.968642998739
1268	14305	61.770360014	14.0859839217	23.4533379937	110.223698008	25.2970989165
1269	11093	0.585955106824	7.82024700261	0.360587758046	12.1247633643	2.78328675741
127	60880	0.367526281209	14.69489159	0.303876478318	0.299770039422	3.12705321945
1270	11073	4.83157229296	19.9358800686	0.67732321864	20.1616544748	5.6104939944
1271	11064	0	6.88042299349	0	0	0.0677874186551
1272	11061	0	7.39083265528	0	0	0.316427086159
1273	11058	0	14.2430819316	0	0	2.44167118828
1274	11051	5.74608632703	19.2403402407	6.1759116822	11.084969686	2.65813048593
1275	11043	0	8.02544598388	0	0.022638775695	0.792357149325
1276	11038	0.419007066498	7.03252400797	0.113245153107	6.79470918645	1.81192244972
1277	11036	0	6.75063428779	0	0	0.0906125407756
1278	11012	0	18.7636215038	0	0	1.69133672357
1279	10995	12.767166894	34.2655752615	12.8126421101	23.2833105957	67.8149158709
128	60311	0.00829036162557	17.6377443584	0.00414518081279	0	1.60833015536
1280	10993	0.0227417447467	20.1491858455	0	0	0.0227417447467
1281	10984	5.40558994902	16.4671340131	7.19227967953	8.83102694829	3.25473415878
1282	10982	0.546348570388	7.81961391368	0.227645237662	9.60662902932	2.64068475687
1283	10965	0	18.479252166	0	0	0.0227998176015
1284	10964	5.4382524626	17.5688617293	12.5980481576	9.38298066399	3.1922655965
1285	10956	8.84218692954	24.3930266521	5.28249361081	0.513417305586	37.0573201899
1286	10955	16.2825193975	9.55043359197	11.4559561844	39.1830214514	13.1446827932
1287	10954	39.3349461384	8.56992879313	1.50629906883	76.6272594486	20.1981011503
1288	10951	0	15.3981371564	0	0	1.96329102365
1289	10934	0	16.8511066398	0.0685933784525	0	0.98317175782
129	58920	6.59156483367	19.4331296673	13.127970129	11.5983536999	3.17167345553
1290	10921	0.0228916765864	16.0356194488	0.0114458382932	0	0.927112901749
1291	10914	0.229063588052	12.5984973429	0.0458127176104	0.30923584387	2.49679310977
1292	10890	0	20.7874196511	0.068870523416	0	0.114784205693
1293	10887	5.01745200698	15.0064296868	4.15633324148	9.40341691926	1.53853219436
1294	10885	0	17.110702802	0	0	1.92926045016
1295	10882	0.356092630031	16.4032346995	0.275684616798	0.160816026466	4.68663848557
1296	10869	0	9.21197902291	0	0	0.437022725182
1297	10855	16.8470750806	9.28143712575	9.48871487794	39.5670198065	10.8360202672
1298	10842	0	9.38479985243	0	0	0.968456004427
1299	10842	0	15.1378896882	0	0	0.253643239255
13	242890	614.853946231	37.3064967681	1381.96920417	589.582218288	354.18862448
130	58558	592.442535606	36.3998087366	1467.64105673	564.406229721	354.430649954
1300	10840	0.322878228782	9.89391143911	0.0807195571956	0.0691881918819	0.830258302583
1301	10834	1.14223740078	9.80708879454	0.346132545689	14.2606608824	4.06128853609
1302	10829	0	6.25634869332	0	0	0.530981623419
1303	10829	31.7550096962	7.82620740604	1.18893711331	64.8259303721	15.3984670791
1304	10822	0	15.5008316393	0	0	2.14840140455
1305	10810	18.2932469935	10.8580018501	11.6327474561	40.3330249769	10.7886216466
1306	10806	0	20.7060892097	0	0	2.63742365353
